source,model,B,K,theta_a,theta_b,true_delta,m1_pt,m3_pt,m3_lo,m3_hi,m4_pt,m4_lo,m4_hi,m5_pt,m5_lo,m5_hi,m6_pt,m6_lo,m6_hi,m7_pt,m7_lo,m7_hi,system_b,m3_cov_a,m4_cov_a,m5_cov_a,m6_cov_a,m7_cov_a,m1_dir_wrong
Original RS,Yi-1.5-6B,500000,?,0.14662631645805865,0.22541966426858512,-0.07879334781052647,0.19744204636290968,0.19744204636290968,0.17538306570683918,0.2195010270189802,0.19968051118210864,0.1683393127639173,0.23102170960029997,0.18258785942492012,0.17085562430653226,0.19432009454330798,0.14717445785860342,0.13456255538737,0.15975672176224204,0.14717445785860342,0.13432445171789428,0.1594367110888367,0.22541966426858512,False,False,False,True,True,False
Original RS,Yi-1.5-6B,1500000,?,0.1620706847471365,0.22541966426858512,-0.0633489795214486,0.16706634692246203,0.16706634692246203,0.14639460333505605,0.187738090509868,0.1900958466453674,0.1593335192566408,0.22085817403409402,0.19137380191693293,0.18012138651980172,0.20262621731406413,0.16284507855655,0.15108448181576317,0.17431073446362474,0.16284507855655,0.15091692921383731,0.17489561067200907,0.22541966426858512,True,True,False,True,True,False
Original RS,Yi-1.5-6B,3000000,?,0.16435845490709358,0.22541966426858512,-0.061061209361491536,0.15667466027178256,0.15667466027178256,0.13653165008751442,0.1768176704560507,0.1757188498402556,0.1458813161170495,0.2055563835634617,0.18865814696485622,0.18383906549389048,0.19347722843582196,0.165047759398327,0.15277418232512796,0.1777267194976448,0.165047759398327,0.1523157932460705,0.17755793222114635,0.22541966426858512,True,True,False,True,True,False
Original RS,Yi-1.5-6B,6500000,?,0.18704075085319688,0.22541966426858512,-0.03837891341538824,0.17346123101518784,0.17346123101518784,0.15247858552509677,0.19444387650527892,0.20607028753993611,0.1743589340351767,0.23778164104469554,0.20814696485623005,0.19889013463880445,0.21740379507365565,0.1891531176118671,0.17512495260271055,0.20331317074445554,0.1891531176118671,0.17438225743498253,0.20271229182066983,0.22541966426858512,True,True,False,True,True,False
Original RS,Qwen2-7B,500000,?,0.24268182360880763,0.2837729816147082,-0.041091158005900574,0.24620303756994405,0.24620303756994405,0.2223303501584935,0.2700757249813946,0.2747603833865815,0.23976313665148463,0.30975763012167834,0.28402555910543137,0.2752946420157063,0.29275647619515643,0.24116770441473304,0.2224294825143128,0.26032566136715807,0.24116770441473304,0.22155102445994104,0.25946223065449625,0.2837729816147082,True,True,False,True,True,False
Original RS,Qwen2-7B,1500000,?,0.26407030513395335,0.2837729816147082,-0.019702676480754855,0.2621902478017586,0.2621902478017586,0.23781731005684756,0.2865631855466696,0.2747603833865815,0.23976313665148463,0.30975763012167834,0.289297124600639,0.2819750238594128,0.2966192253418652,0.2646450319789695,0.24453159572702238,0.2850014264797155,0.2646450319789695,0.24373139474015368,0.28333514465088194,0.2837729816147082,True,True,False,True,True,False
Original RS,Qwen2-7B,3000000,?,0.2634781391898138,0.2837729816147082,-0.020294842424894433,0.2597921662669864,0.2597921662669864,0.23549155038380645,0.2840927821501664,0.26996805111821087,0.23516292740207756,0.3047731748343442,0.2730031948881789,0.2601131693441524,0.28589322043220544,0.2645184748856192,0.24428519601098886,0.28502811804594474,0.2645184748856192,0.24373947901903187,0.2838463113647361,0.2837729816147082,True,True,True,True,True,False
Original RS,Qwen2-7B,6500000,?,0.2566129078286086,0.2837729816147082,-0.02716007378609958,0.26298960831334933,0.26298960831334933,0.23859277177844068,0.287386444848258,0.2507987220447284,0.21681444957575785,0.284782994513699,0.2690095846645367,0.2583439771439768,0.2796751921850967,0.2550799263431337,0.23504241202527845,0.2755236348555225,0.2550799263431337,0.233481571200033,0.2747624752376827,0.2837729816147082,True,True,False,True,True,False
Original RS,Qwen2.5-3B,500000,?,0.23989059642810098,0.2621902478017586,-0.02229965137365761,0.23741007194244604,0.23741007194244604,0.21383122741571056,0.26098891646918154,0.2364217252396166,0.2031108122939915,0.26973263818524174,0.24329073482428115,0.23494736499755461,0.2516341046510077,0.23799690857559516,0.2191987652314189,0.25688509062872256,0.23799690857559516,0.2196124033206974,0.25667051654660533,0.2621902478017586,True,True,True,True,True,False
Original RS,Qwen2.5-3B,1500000,?,0.24668782746226517,0.2621902478017586,-0.015502420339493422,0.25259792166266987,0.25259792166266987,0.22851997469563057,0.27667586862970917,0.25878594249201275,0.2244492683482583,0.2931226166357672,0.2654952076677316,0.2565754561262834,0.2744149592091798,0.2458852851243741,0.226331923708601,0.2646384064387502,0.2458852851243741,0.2259075031943985,0.2654755771093714,0.2621902478017586,True,True,False,True,True,False
Original RS,Qwen2.5-3B,3000000,?,0.23937986281164317,0.2621902478017586,-0.022810384990115423,0.2589928057553957,0.2589928057553957,0.23471650669193386,0.2832691048188575,0.21405750798722045,0.1819004225105729,0.246214593463868,0.2512779552715655,0.2383151255683721,0.2642407849747589,0.23779095989830154,0.2186032539974476,0.25687582189509117,0.23779095989830154,0.21849263090103915,0.25645267675260125,0.2621902478017586,True,True,True,True,True,False
